Cond1,Cond2,Shared,Total_Genes_Cond1,Percentage_Shared_Cond1,pvalue,-log(p)
myeloid cell enriched receptors and transporters,Resting dendritic cell surface signature,3,31,9.68,3.433363750031792e-22,21.46428018251572
myeloid cell enriched receptors and transporters,Resting dendritic cell surface signature,3,31,9.68,3.433363750031792e-22,21.46428018251572
enriched in monocytes (I),enriched in monocytes (II),7,11,63.64,5.8895169453895505e-6,5.229920324322386
enriched in monocytes (I),enriched in monocytes (II),7,11,63.64,5.8895169453895505e-6,5.229920324322386
enriched in monocytes (I),immune activation - generic cluster,2,11,18.18,2.4062841407088285e-16,15.618653091270534
enriched in monocytes (I),immune activation - generic cluster,2,11,18.18,2.4062841407088285e-16,15.618653091270534
regulation of antigen presentation and immune response,myeloid cell enriched receptors and transporters,2,31,6.45,1.5006757670743605e-24,23.82371313039577
regulation of antigen presentation and immune response,myeloid cell enriched receptors and transporters,2,31,6.45,1.5006757670743605e-24,23.82371313039577
regulation of antigen presentation and immune response,T cell activation and signaling,13,81,16.05,1.248332121134919e-8,7.903669854407545
regulation of antigen presentation and immune response,T cell activation and signaling,13,81,16.05,1.248332121134919e-8,7.903669854407545
regulation of antigen presentation and immune response,enriched in T cells (I),13,81,16.05,4.5303905502183416e-24,23.343864357260106
regulation of antigen presentation and immune response,enriched in T cells (I),13,81,16.05,4.5303905502183416e-24,23.343864357260106
regulation of antigen presentation and immune response,T cell activation (I),15,81,18.52,3.973655675528497e-18,17.4008097680004
regulation of antigen presentation and immune response,T cell activation (I),15,81,18.52,3.973655675528497e-18,17.4008097680004
regulation of antigen presentation and immune response,enriched in NK cells (I),5,81,6.17,1.5608476169065672e-28,27.806639494353977
regulation of antigen presentation and immune response,enriched in NK cells (I),5,81,6.17,1.5608476169065672e-28,27.806639494353977
regulation of antigen presentation and immune response,T cell activation (II),9,81,11.11,1.3265054917165315e-15,14.877290947704081
regulation of antigen presentation and immune response,T cell activation (II),9,81,11.11,1.3265054917165315e-15,14.877290947704081
regulation of antigen presentation and immune response,T cell activation (III),3,81,3.7,6.7718110757487275e-12,11.16929516661513
regulation of antigen presentation and immune response,T cell activation (III),3,81,3.7,6.7718110757487275e-12,11.16929516661513
regulation of antigen presentation and immune response,B cell development,3,81,3.7,2.336274821133304e-9,8.631476071541858
regulation of antigen presentation and immune response,B cell development,3,81,3.7,2.336274821133304e-9,8.631476071541858
regulation of antigen presentation and immune response,enriched in monocytes (II),18,81,22.22,2.2560426019124257e-43,42.64665270362451
regulation of antigen presentation and immune response,enriched in monocytes (II),18,81,22.22,2.2560426019124257e-43,42.64665270362451
regulation of antigen presentation and immune response,CD28 costimulation,5,81,6.17,7.235910376014072e-6,5.140506820950365
regulation of antigen presentation and immune response,CD28 costimulation,5,81,6.17,7.235910376014072e-6,5.140506820950365
regulation of antigen presentation and immune response,T cell differentiation,2,81,2.47,1.0269339873113427e-11,10.98845747253499
regulation of antigen presentation and immune response,T cell differentiation,2,81,2.47,1.0269339873113427e-11,10.98845747253499
regulation of antigen presentation and immune response,TLR and inflammatory signaling,13,81,16.05,4.991225555964045e-18,17.30179280370688
regulation of antigen presentation and immune response,TLR and inflammatory signaling,13,81,16.05,4.991225555964045e-18,17.30179280370688
regulation of antigen presentation and immune response,T cell differentiation via ITK and PKC,2,81,2.47,7.787582737111042e-11,10.108597326261519
regulation of antigen presentation and immune response,T cell differentiation via ITK and PKC,2,81,2.47,7.787582737111042e-11,10.108597326261519
regulation of antigen presentation and immune response,T cell differentiation (Th2),5,81,6.17,1.4854295262932683e-11,10.828147947743167
regulation of antigen presentation and immune response,T cell differentiation (Th2),5,81,6.17,1.4854295262932683e-11,10.828147947743167
regulation of antigen presentation and immune response,antigen presentation (lipids and proteins),3,81,3.7,2.336274821133304e-9,8.631476071541858
regulation of antigen presentation and immune response,antigen presentation (lipids and proteins),3,81,3.7,2.336274821133304e-9,8.631476071541858
regulation of antigen presentation and immune response,inflammatory response,2,81,2.47,7.787582737111042e-11,10.108597326261519
regulation of antigen presentation and immune response,inflammatory response,2,81,2.47,7.787582737111042e-11,10.108597326261519
regulation of antigen presentation and immune response,signaling in T cells (I),2,81,2.47,2.184455185725393e-13,12.660656860449404
regulation of antigen presentation and immune response,signaling in T cells (I),2,81,2.47,2.184455185725393e-13,12.660656860449404
regulation of antigen presentation and immune response,"T cell surface, activation",4,81,4.94,7.008824463399897e-9,8.154354816822197
regulation of antigen presentation and immune response,"T cell surface, activation",4,81,4.94,7.008824463399897e-9,8.154354816822197
regulation of antigen presentation and immune response,immune activation - generic cluster,18,81,22.22,3.4210499366721205e-58,57.46584058642211
regulation of antigen presentation and immune response,immune activation - generic cluster,18,81,22.22,3.4210499366721205e-58,57.46584058642211
regulation of antigen presentation and immune response,complement and other receptors in DCs,4,81,4.94,1.0123857558244388e-9,8.994653973954682
regulation of antigen presentation and immune response,complement and other receptors in DCs,4,81,4.94,1.0123857558244388e-9,8.994653973954682
regulation of antigen presentation and immune response,T cell signaling and costimulation,3,81,3.7,1.8902587189169494e-8,7.72347875005517
regulation of antigen presentation and immune response,T cell signaling and costimulation,3,81,3.7,1.8902587189169494e-8,7.72347875005517
regulation of antigen presentation and immune response,enriched in B cells (I),4,81,4.94,1.5967341187557275e-31,30.796767394675882
regulation of antigen presentation and immune response,enriched in B cells (I),4,81,4.94,1.5967341187557275e-31,30.796767394675882
regulation of antigen presentation and immune response,enriched in B cells (II),3,81,3.7,7.211555402472796e-29,28.141971055688483
regulation of antigen presentation and immune response,enriched in B cells (II),3,81,3.7,7.211555402472796e-29,28.141971055688483
regulation of antigen presentation and immune response,enriched in B cells (III),5,81,6.17,2.9801030277123226e-23,22.52576872129506
regulation of antigen presentation and immune response,enriched in B cells (III),5,81,6.17,2.9801030277123226e-23,22.52576872129506
regulation of antigen presentation and immune response,enriched in B cells (IV),4,81,4.94,4.368910371450793e-12,11.359626864785422
regulation of antigen presentation and immune response,enriched in B cells (IV),4,81,4.94,4.368910371450793e-12,11.359626864785422
regulation of antigen presentation and immune response,T cell activation (IV),4,81,4.94,1.0123857558244388e-9,8.994653973954682
regulation of antigen presentation and immune response,T cell activation (IV),4,81,4.94,1.0123857558244388e-9,8.994653973954682
regulation of antigen presentation and immune response,inflammasome receptors and signaling,3,81,3.7,3.115033094844423e-10,9.506537334933556
regulation of antigen presentation and immune response,inflammasome receptors and signaling,3,81,3.7,3.115033094844423e-10,9.506537334933556
regulation of antigen presentation and immune response,BCR signaling,5,81,6.17,1.2475707544851879e-7,6.903934814513301
regulation of antigen presentation and immune response,BCR signaling,5,81,6.17,1.2475707544851879e-7,6.903934814513301
regulation of antigen presentation and immune response,B cell development/activation,3,81,3.7,2.336274821133304e-9,8.631476071541858
regulation of antigen presentation and immune response,B cell development/activation,3,81,3.7,2.336274821133304e-9,8.631476071541858
regulation of antigen presentation and immune response,"CCR1, 7 and cell signaling",3,81,3.7,1.8902587189169494e-8,7.72347875005517
regulation of antigen presentation and immune response,"CCR1, 7 and cell signaling",3,81,3.7,1.8902587189169494e-8,7.72347875005517
regulation of antigen presentation and immune response,lymphocyte generic cluster,2,81,2.47,1.039634326912985e-15,14.983119389287637
regulation of antigen presentation and immune response,lymphocyte generic cluster,2,81,2.47,1.039634326912985e-15,14.983119389287637
regulation of antigen presentation and immune response,enriched in NK cells (II),2,81,2.47,1.8160424289778596e-20,19.740874009088227
regulation of antigen presentation and immune response,enriched in NK cells (II),2,81,2.47,1.8160424289778596e-20,19.740874009088227
regulation of antigen presentation and immune response,enriched in NK cells (receptor activation),6,81,7.41,1.2460132379377613e-9,8.904477343605596
regulation of antigen presentation and immune response,enriched in NK cells (receptor activation),6,81,7.41,1.2460132379377613e-9,8.904477343605596
regulation of antigen presentation and immune response,"T & B cell development, activation",4,81,4.94,7.9327109427200945e-28,27.100578370530258
regulation of antigen presentation and immune response,"T & B cell development, activation",4,81,4.94,7.9327109427200945e-28,27.100578370530258
regulation of antigen presentation and immune response,"IL2, IL7, TCR network",5,81,6.17,1.2475707544851879e-7,6.903934814513301
regulation of antigen presentation and immune response,"IL2, IL7, TCR network",5,81,6.17,1.2475707544851879e-7,6.903934814513301
regulation of antigen presentation and immune response,enriched in B cells (VI),3,81,3.7,2.493547512477996e-16,15.603182352245927
regulation of antigen presentation and immune response,enriched in B cells (VI),3,81,3.7,2.493547512477996e-16,15.603182352245927
regulation of antigen presentation and immune response,enriched in antigen presentation (I),6,81,7.41,4.4562885788797937e-11,10.351026693023506
regulation of antigen presentation and immune response,enriched in antigen presentation (I),6,81,7.41,4.4562885788797937e-11,10.351026693023506
regulation of antigen presentation and immune response,enriched in monocytes (III),2,81,2.47,1.0269339873113427e-11,10.98845747253499
regulation of antigen presentation and immune response,enriched in monocytes (III),2,81,2.47,1.0269339873113427e-11,10.98845747253499
regulation of antigen presentation and immune response,enriched in myeloid cells and monocytes,3,81,3.7,4.474629170739096e-25,24.34924295046537
regulation of antigen presentation and immune response,enriched in myeloid cells and monocytes,3,81,3.7,4.474629170739096e-25,24.34924295046537
regulation of antigen presentation and immune response,enriched in antigen presentation (II),6,81,7.41,5.35281532678612e-15,14.271417739605777
regulation of antigen presentation and immune response,enriched in antigen presentation (II),6,81,7.41,5.35281532678612e-15,14.271417739605777
regulation of antigen presentation and immune response,enriched in antigen presentation (III),6,81,7.41,7.086700290771034e-9,8.149555933940427
regulation of antigen presentation and immune response,enriched in antigen presentation (III),6,81,7.41,7.086700290771034e-9,8.149555933940427
regulation of antigen presentation and immune response,enriched in monocytes (IV),6,81,7.41,2.9180011300008897e-30,29.53491454426126
regulation of antigen presentation and immune response,enriched in monocytes (IV),6,81,7.41,2.9180011300008897e-30,29.53491454426126
regulation of antigen presentation and immune response,enriched in monocytes (surface),2,81,2.47,1.039634326912985e-15,14.983119389287637
regulation of antigen presentation and immune response,enriched in monocytes (surface),2,81,2.47,1.039634326912985e-15,14.983119389287637
regulation of antigen presentation and immune response,double positive thymocytes,3,81,3.7,4.450047278349159e-11,10.351635374947815
regulation of antigen presentation and immune response,double positive thymocytes,3,81,3.7,4.450047278349159e-11,10.351635374947815
regulation of antigen presentation and immune response,MHC-TLR7-TLR8 cluster,8,81,9.88,3.442111569803072e-8,7.463175056912428
regulation of antigen presentation and immune response,MHC-TLR7-TLR8 cluster,8,81,9.88,3.442111569803072e-8,7.463175056912428
regulation of antigen presentation and immune response,antigen processing and presentation,4,81,4.94,5.198211477021614e-8,7.284146056224907
regulation of antigen presentation and immune response,antigen processing and presentation,4,81,4.94,5.198211477021614e-8,7.284146056224907
regulation of antigen presentation and immune response,T cell surface signature,2,81,2.47,2.7534336018869603e-22,21.560125391919865
regulation of antigen presentation and immune response,T cell surface signature,2,81,2.47,2.7534336018869603e-22,21.560125391919865
regulation of antigen presentation and immune response,B cell surface signature,10,81,12.35,1.676540605038405e-50,49.775585923696205
regulation of antigen presentation and immune response,B cell surface signature,10,81,12.35,1.676540605038405e-50,49.775585923696205
regulation of antigen presentation and immune response,Monocyte surface signature,8,81,9.88,1.0397548208551758e-38,37.98306905733865
regulation of antigen presentation and immune response,Monocyte surface signature,8,81,9.88,1.0397548208551758e-38,37.98306905733865
regulation of antigen presentation and immune response,DC surface signature,2,81,2.47,1.8600314876487526e-44,43.73047970374103
regulation of antigen presentation and immune response,DC surface signature,2,81,2.47,1.8600314876487526e-44,43.73047970374103
regulation of antigen presentation and immune response,Naive B cell surface signature,3,81,3.7,1.994532556391607e-33,32.700158870386566
regulation of antigen presentation and immune response,Naive B cell surface signature,3,81,3.7,1.994532556391607e-33,32.700158870386566
regulation of antigen presentation and immune response,Resting dendritic cell surface signature,3,81,3.7,1.1947246878999604e-40,39.92273216191353
regulation of antigen presentation and immune response,Resting dendritic cell surface signature,3,81,3.7,1.1947246878999604e-40,39.92273216191353
T cell activation and signaling,regulation of antigen presentation and immune response,13,81,16.05,1.248332121134919e-8,7.903669854407545
T cell activation and signaling,regulation of antigen presentation and immune response,13,81,16.05,1.248332121134919e-8,7.903669854407545
T cell activation and signaling,enriched in T cells (I),11,25,44,6.485762156568793e-9,8.18803898165498
T cell activation and signaling,enriched in T cells (I),11,25,44,6.485762156568793e-9,8.18803898165498
T cell activation and signaling,T cell activation (I),10,25,40,1.5762578573051897e-8,7.8023727355492145
T cell activation and signaling,T cell activation (I),10,25,40,1.5762578573051897e-8,7.8023727355492145
T cell activation and signaling,enriched in NK cells (I),4,25,16,3.28196745075985e-14,13.48386573042049
T cell activation and signaling,enriched in NK cells (I),4,25,16,3.28196745075985e-14,13.48386573042049
T cell activation and signaling,T cell activation (II),10,25,40,1.2174227321333294e-5,4.914558593212306
T cell activation and signaling,T cell activation (II),10,25,40,1.2174227321333294e-5,4.914558593212306
T cell activation and signaling,CD28 costimulation,2,25,8,3.2411044646862185e-6,5.489306970909897
T cell activation and signaling,CD28 costimulation,2,25,8,3.2411044646862185e-6,5.489306970909897
T cell activation and signaling,T cell differentiation (Th2),3,25,12,4.5079372987575045e-8,7.346022133218877
T cell activation and signaling,T cell differentiation (Th2),3,25,12,4.5079372987575045e-8,7.346022133218877
T cell activation and signaling,antigen presentation (lipids and proteins),3,25,12,1.1884049703849448e-5,4.9250355404713355
T cell activation and signaling,antigen presentation (lipids and proteins),3,25,12,1.1884049703849448e-5,4.9250355404713355
T cell activation and signaling,"T cell surface, activation",2,25,8,3.595174700324217e-7,6.444280001096577
T cell activation and signaling,"T cell surface, activation",2,25,8,3.595174700324217e-7,6.444280001096577
T cell activation and signaling,immune activation - generic cluster,5,25,20,1.1144834710306645e-28,27.952926368182762
T cell activation and signaling,immune activation - generic cluster,5,25,20,1.1144834710306645e-28,27.952926368182762
T cell activation and signaling,T cell activation (IV),3,25,12,1.5579090368071588e-6,5.807457903509404
T cell activation and signaling,T cell activation (IV),3,25,12,1.5579090368071588e-6,5.807457903509404
T cell activation and signaling,enriched in NK cells (receptor activation),3,25,12,1.0341738508914319e-7,6.98540644757065
T cell activation and signaling,enriched in NK cells (receptor activation),3,25,12,1.0341738508914319e-7,6.98540644757065
T cell activation and signaling,"T & B cell development, activation",3,25,12,1.2624656961889402e-14,13.898780413730691
T cell activation and signaling,"T & B cell development, activation",3,25,12,1.2624656961889402e-14,13.898780413730691
T cell activation and signaling,"IL2, IL7, TCR network",5,25,20,2.3530418413621987e-4,3.628370350209803
T cell activation and signaling,"IL2, IL7, TCR network",5,25,20,2.3530418413621987e-4,3.628370350209803
T cell activation and signaling,enriched in antigen presentation (I),2,25,8,1.4843208178835703e-9,8.828472221443606
T cell activation and signaling,enriched in antigen presentation (I),2,25,8,1.4843208178835703e-9,8.828472221443606
T cell activation and signaling,enriched in antigen presentation (II),4,25,16,4.948782092605476e-9,8.305501668852514
T cell activation and signaling,enriched in antigen presentation (II),4,25,16,4.948782092605476e-9,8.305501668852514
T cell activation and signaling,enriched in antigen presentation (III),3,25,12,2.456162895867145e-7,6.609742833609766
T cell activation and signaling,enriched in antigen presentation (III),3,25,12,2.456162895867145e-7,6.609742833609766
T cell activation and signaling,double positive thymocytes,2,25,8,1.298257530672632e-7,6.886639149557028
T cell activation and signaling,double positive thymocytes,2,25,8,1.298257530672632e-7,6.886639149557028
T cell activation and signaling,MHC-TLR7-TLR8 cluster,3,25,12,4.5079372987575045e-8,7.346022133218877
T cell activation and signaling,MHC-TLR7-TLR8 cluster,3,25,12,4.5079372987575045e-8,7.346022133218877
T cell activation and signaling,T cell surface signature,3,25,12,5.183109380324309e-11,10.285409626049523
T cell activation and signaling,T cell surface signature,3,25,12,5.183109380324309e-11,10.285409626049523
T cell activation and signaling,B cell surface signature,2,25,8,9.326620951970787e-28,27.0302756732653
T cell activation and signaling,B cell surface signature,2,25,8,9.326620951970787e-28,27.0302756732653
enriched in T cells (I),regulation of antigen presentation and immune response,13,81,16.05,4.5303905502183416e-24,23.343864357260106
enriched in T cells (I),regulation of antigen presentation and immune response,13,81,16.05,4.5303905502183416e-24,23.343864357260106
enriched in T cells (I),T cell activation and signaling,11,25,44,6.485762156568793e-9,8.18803898165498
enriched in T cells (I),T cell activation and signaling,11,25,44,6.485762156568793e-9,8.18803898165498
enriched in T cells (I),T cell activation (I),29,62,46.77,3.614094453857336e-6,5.442000501400711
enriched in T cells (I),T cell activation (I),29,62,46.77,3.614094453857336e-6,5.442000501400711
enriched in T cells (I),enriched in NK cells (I),25,62,40.32,6.005870192680142e-8,7.221424058619213
enriched in T cells (I),enriched in NK cells (I),25,62,40.32,6.005870192680142e-8,7.221424058619213
enriched in T cells (I),T cell activation (II),20,62,32.26,2.3794401464773764e-5,4.623525215169291
enriched in T cells (I),T cell activation (II),20,62,32.26,2.3794401464773764e-5,4.623525215169291
enriched in T cells (I),T cell activation (III),8,62,12.9,2.743634767339772e-5,4.561673702399006
enriched in T cells (I),T cell activation (III),8,62,12.9,2.743634767339772e-5,4.561673702399006
enriched in T cells (I),CD28 costimulation,4,62,6.45,1.9186257114264145e-6,5.717009739864068
enriched in T cells (I),CD28 costimulation,4,62,6.45,1.9186257114264145e-6,5.717009739864068
enriched in T cells (I),T cell differentiation,7,62,11.29,8.200754469411178e-5,4.086146190685902
enriched in T cells (I),T cell differentiation,7,62,11.29,8.200754469411178e-5,4.086146190685902
enriched in T cells (I),T cell differentiation via ITK and PKC,7,62,11.29,4.578754578754573e-4,3.3392526340327002
enriched in T cells (I),T cell differentiation via ITK and PKC,7,62,11.29,4.578754578754573e-4,3.3392526340327002
enriched in T cells (I),T cell differentiation (Th2),13,62,20.97,0.0033022533022532986,2.4811896168540755
enriched in T cells (I),T cell differentiation (Th2),13,62,20.97,0.0033022533022532986,2.4811896168540755
enriched in T cells (I),chemokine cluster (I),2,62,3.23,2.6192928406824702e-19,18.581815944116652
enriched in T cells (I),chemokine cluster (I),2,62,3.23,2.6192928406824702e-19,18.581815944116652
enriched in T cells (I),chemokine cluster (II),2,62,3.23,8.293813499448699e-13,12.081245734714823
enriched in T cells (I),chemokine cluster (II),2,62,3.23,8.293813499448699e-13,12.081245734714823
enriched in T cells (I),signaling in T cells (I),2,62,3.23,4.146906749724329e-12,11.382275730378806
enriched in T cells (I),signaling in T cells (I),2,62,3.23,4.146906749724329e-12,11.382275730378806
enriched in T cells (I),signaling in T cells (II),2,62,3.23,7.385139646816758e-10,9.131641288128804
enriched in T cells (I),signaling in T cells (II),2,62,3.23,7.385139646816758e-10,9.131641288128804
enriched in T cells (I),"T cell surface, activation",2,62,3.23,1.2308566078027964e-10,9.909792538512447
enriched in T cells (I),"T cell surface, activation",2,62,3.23,1.2308566078027964e-10,9.909792538512447
enriched in T cells (I),immune activation - generic cluster,11,62,17.74,5.712955827705151e-54,53.243139133870145
enriched in T cells (I),immune activation - generic cluster,11,62,17.74,5.712955827705151e-54,53.243139133870145
enriched in T cells (I),T cell signaling and costimulation,2,62,3.23,4.7667719538544225e-9,8.321775624567957
enriched in T cells (I),T cell signaling and costimulation,2,62,3.23,4.7667719538544225e-9,8.321775624567957
enriched in T cells (I),T cell activation (IV),4,62,6.45,9.600681540861798e-9,8.017697935821968
enriched in T cells (I),T cell activation (IV),4,62,6.45,9.600681540861798e-9,8.017697935821968
enriched in T cells (I),lymphocyte generic cluster,2,62,3.23,3.854950908834647e-14,13.4139811481339
enriched in T cells (I),lymphocyte generic cluster,2,62,3.23,3.854950908834647e-14,13.4139811481339
enriched in T cells (I),enriched in NK cells (II),6,62,9.68,3.7891502375280477e-13,12.421458174868611
enriched in T cells (I),enriched in NK cells (II),6,62,9.68,3.7891502375280477e-13,12.421458174868611
enriched in T cells (I),enriched in NK cells (receptor activation),5,62,8.06,1.227484397918399e-9,8.9109840193198675
enriched in T cells (I),enriched in NK cells (receptor activation),5,62,8.06,1.227484397918399e-9,8.9109840193198675
enriched in T cells (I),"T & B cell development, activation",7,62,11.29,1.7785313713815654e-20,19.74993846992282
enriched in T cells (I),"T & B cell development, activation",7,62,11.29,1.7785313713815654e-20,19.74993846992282
enriched in T cells (I),"IL2, IL7, TCR network",6,62,9.68,8.441953130276232e-6,5.07355706337788
enriched in T cells (I),"IL2, IL7, TCR network",6,62,9.68,8.441953130276232e-6,5.07355706337788
enriched in T cells (I),double positive thymocytes,4,62,6.45,9.600681540861798e-9,8.017697935821968
enriched in T cells (I),double positive thymocytes,4,62,6.45,9.600681540861798e-9,8.017697935821968
enriched in T cells (I),enriched in NK cells (III),4,62,6.45,1.866799188500906e-9,8.728902396574998
enriched in T cells (I),enriched in NK cells (III),4,62,6.45,1.866799188500906e-9,8.728902396574998
enriched in T cells (I),T cell surface signature,13,62,20.97,2.9185929704559734e-8,7.534826467879634
enriched in T cells (I),T cell surface signature,13,62,20.97,2.9185929704559734e-8,7.534826467879634
enriched in T cells (I),CD4 T cell surface signature Th2-stimulated,6,62,9.68,1.5905129086027652e-6,5.7984628018082995
enriched in T cells (I),CD4 T cell surface signature Th2-stimulated,6,62,9.68,1.5905129086027652e-6,5.7984628018082995
T cell activation (I),regulation of antigen presentation and immune response,15,81,18.52,3.973655675528497e-18,17.4008097680004
T cell activation (I),regulation of antigen presentation and immune response,15,81,18.52,3.973655675528497e-18,17.4008097680004
T cell activation (I),T cell activation and signaling,10,25,40,1.5762578573051897e-8,7.8023727355492145
T cell activation (I),T cell activation and signaling,10,25,40,1.5762578573051897e-8,7.8023727355492145
T cell activation (I),enriched in T cells (I),29,62,46.77,3.614094453857336e-6,5.442000501400711
T cell activation (I),enriched in T cells (I),29,62,46.77,3.614094453857336e-6,5.442000501400711
T cell activation (I),enriched in NK cells (I),11,50,22,2.629625229229906e-15,14.58010614218519
T cell activation (I),enriched in NK cells (I),11,50,22,2.629625229229906e-15,14.58010614218519
T cell activation (I),T cell activation (II),17,50,34,5.541294458720938e-6,5.256388771262252
T cell activation (I),T cell activation (II),17,50,34,5.541294458720938e-6,5.256388771262252
T cell activation (I),T cell activation (III),7,50,14,1.2981028227245878e-5,4.886690905707236
T cell activation (I),T cell activation (III),7,50,14,1.2981028227245878e-5,4.886690905707236
T cell activation (I),CD28 costimulation,2,50,4,2.3476660647297724e-8,7.629363677679556
T cell activation (I),CD28 costimulation,2,50,4,2.3476660647297724e-8,7.629363677679556
T cell activation (I),T cell differentiation,6,50,12,2.845840803665436e-5,4.545789398005564
T cell activation (I),T cell differentiation,6,50,12,2.845840803665436e-5,4.545789398005564
T cell activation (I),T cell differentiation via ITK and PKC,4,50,8,1.2481757910813346e-6,5.903724245006016
T cell activation (I),T cell differentiation via ITK and PKC,4,50,8,1.2481757910813346e-6,5.903724245006016
T cell activation (I),T cell differentiation (Th2),6,50,12,2.9600987995559216e-8,7.528693793202592
T cell activation (I),T cell differentiation (Th2),6,50,12,2.9600987995559216e-8,7.528693793202592
T cell activation (I),antigen presentation (lipids and proteins),2,50,4,4.3770045274623184e-9,8.358823004163472
T cell activation (I),antigen presentation (lipids and proteins),2,50,4,4.3770045274623184e-9,8.358823004163472
T cell activation (I),"T cell surface, activation",3,50,6,1.7508018109849208e-8,7.756763012835511
T cell activation (I),"T cell surface, activation",3,50,6,1.7508018109849208e-8,7.756763012835511
T cell activation (I),immune activation - generic cluster,7,50,14,2.5649683070147107e-50,49.59091799670174
T cell activation (I),immune activation - generic cluster,7,50,14,2.5649683070147107e-50,49.59091799670174
T cell activation (I),T cell signaling and costimulation,3,50,6,4.5388210584775785e-7,6.343056938836279
T cell activation (I),T cell signaling and costimulation,3,50,6,4.5388210584775785e-7,6.343056938836279
T cell activation (I),T cell activation (IV),4,50,8,5.690105885700991e-8,7.244879651856636
T cell activation (I),T cell activation (IV),4,50,8,5.690105885700991e-8,7.244879651856636
T cell activation (I),lymphocyte generic cluster,2,50,4,6.558177063886811e-13,12.183216862013879
T cell activation (I),lymphocyte generic cluster,2,50,4,6.558177063886811e-13,12.183216862013879
T cell activation (I),enriched in NK cells (II),3,50,6,3.697991493813873e-15,14.432034092147626
T cell activation (I),enriched in NK cells (II),3,50,6,3.697991493813873e-15,14.432034092147626
T cell activation (I),enriched in NK cells (receptor activation),5,50,10,1.0447407527844455e-8,7.9809914641972215
T cell activation (I),enriched in NK cells (receptor activation),5,50,10,1.0447407527844455e-8,7.9809914641972215
T cell activation (I),"T & B cell development, activation",3,50,6,9.966571508479572e-23,22.001454212904214
T cell activation (I),"T & B cell development, activation",3,50,6,9.966571508479572e-23,22.001454212904214
T cell activation (I),"IL2, IL7, TCR network",6,50,12,2.845840803665436e-5,4.545789398005564
T cell activation (I),"IL2, IL7, TCR network",6,50,12,2.845840803665436e-5,4.545789398005564
T cell activation (I),double positive thymocytes,2,50,4,1.865608487115083e-10,9.729179491203421
T cell activation (I),double positive thymocytes,2,50,4,1.865608487115083e-10,9.729179491203421
T cell activation (I),enriched in NK cells (III),3,50,6,8.706172939870366e-10,9.060172710244847
T cell activation (I),enriched in NK cells (III),3,50,6,8.706172939870366e-10,9.060172710244847
T cell activation (I),T cell surface signature,7,50,14,5.485574167698589e-12,11.260777908688587
T cell activation (I),T cell surface signature,7,50,14,5.485574167698589e-12,11.260777908688587
T cell activation (I),NK cell surface signature,2,50,4,3.8072641585872106e-25,24.419386989579962
T cell activation (I),NK cell surface signature,2,50,4,3.8072641585872106e-25,24.419386989579962
T cell activation (I),CD4 T cell surface signature Th2-stimulated,3,50,6,3.793403923800655e-9,8.420970910912319
T cell activation (I),CD4 T cell surface signature Th2-stimulated,3,50,6,3.793403923800655e-9,8.420970910912319
enriched in NK cells (I),regulation of antigen presentation and immune response,5,81,6.17,1.5608476169065672e-28,27.806639494353977
enriched in NK cells (I),regulation of antigen presentation and immune response,5,81,6.17,1.5608476169065672e-28,27.806639494353977
