Cond1,Cond2,jaccard_distance,Shared,NotShared_cond1,NotShared_cond2,Total_Genes_Cond1,Total_Genes_Cond2,Genes_Names,Percentage_Shared_Cond1,Percentage_Shared_Cond2,pvalue,-log(p)
"BBIBP (V3, D28)","ChAd (V2, D7)",0,0,16,9,16,18,,0,0,4.89482250149905e-7,6.310263052178957
"BBIBP (V3, D28)","ChAd-BNT (V2, D3)",0,0,16,908,16,1156,,0,0,8.444773055150404e-35,34.07341201716701
"BBIBP (V3, D28)","ChAd-BNT (V2, D7)",0.001,1,15,775,16,972,CXCL8,6.25,0.1,8.053368567625364e-31,30.094022424684667
"BBIBP (V3, D28)","ChAd-BNT (V3, D1)",0,0,16,1032,16,1388,,0,0,1.1087009934313748e-35,34.95518556332951
"BBIBP (V3, D28)","I (D10, moderate)",0.001,3,13,3136,16,3139,"KDELR3, CXCL8, HSP90AB4P",18.75,0.1,1.1792584550882764e-33,32.92839100125142
"BBIBP (V3, D28)","I (D10, severe)",0.001,4,12,4092,16,4096,"KDELR3, C4orf19, KCNA3, HSP90AB4P",25,0.1,3.835545335091344e-32,31.416172879646272
"BBIBP (V3, D28)","I (D26, moderate)",0,1,15,2020,16,2021,HSP90AB4P,6.25,0.05,5.145216542079878e-37,36.288596342757444
"BBIBP (V3, D28)","I (D26, severe)",0.001,2,14,3977,16,3979,"KDELR3, HSP90AB4P",12.5,0.05,4.086090192569431e-38,37.38869205138372
"BBIBP (V3, D28)","I (D51, moderate)",0,0,16,51,16,51,,0,0,8.89847634177302e-16,15.050684349872936
"BBIBP (V3, D28)","I (D51, severe)",0.001,3,13,2297,16,2300,"KDELR3, CXCL8, HSP90AB4P",18.75,0.13,6.65054199582746e-32,31.17714295977881
"BBIBP (V3, D28)",I-BNT-I (D2),0,0,16,5,16,10,,0,0,4.9142464003145034e-5,4.308543071784685
"BBIBP (V3, D28)",I-BNT-I (D5),0,0,16,1,16,2,,0,0,0.058823529411764684,1.230448921378274
"BBIBP (V3, D28)",I-I (D1),0,0,16,39,16,39,,0,0,3.361429131204492e-14,13.473476040515541
"BBIBP (V3, D28)",I-I (D2),0,0,16,1,16,1,,0,0,0.058823529411764684,1.230448921378274
"BBIBP (V3, D28)",I-I (D3),0,0,16,3,16,3,,0,0,0.001031991744066046,2.986323777050766
"BBIBP (V3, D28)",I-I (D5),0,0,16,14,16,14,,0,0,6.876506707086785e-9,8.162632129078675
"BBIBP (V3, D28)","ZF2001 (V3, D07)",0.002,4,12,2430,16,2434,"TLL2, CXCL8, RPL21P16, DUX4L25",25,0.16,1.9528452140502805e-29,28.709332178293234
"BBIBP (V3, D28)","ZF2001 (V3, D14)",0.018,5,11,257,16,262,"TLL2, CXCL8, HMGB1P51, DUX4L25, HSP90AB4P",31.25,1.91,3.406341771776428e-16,15.467711779699883
"BBIBP (V3, D28)","ZF2001 (V3, D28)",0.038,2,14,36,16,38,"CXCL8, RPL21P16",12.5,5.26,6.783622558242311e-11,10.168538324288019
"BNT (V1, D6)","BBIBP (V3, D14)",0,0,44,3,44,9,,0,0,6.167129201356768e-5,4.2099169530089915
"BNT (V1, D6)","BBIBP (V3, D28)",0,0,16,3,16,9,,0,0,0.001031991744066046,2.986323777050766
"BNT (V1, D6)","BNT (V2, D1)",0.004,2,1,537,9,694,"IFI27, RNU1-4",22.22,0.29,0.005555555555555635,2.2552725051033
"BNT (V1, D6)","BNT (V3, D1)",0.004,2,1,515,9,708,"IFI27, RNU1-4",22.22,0.28,0.005791505791505751,2.2372085050255737
"BNT (V1, D6)",BNT-I (D1),0,0,3,1101,9,1101,,0,0,4.4712100217487065e-9,8.34957492996549
"BNT (V1, D6)","BNT-I (D10, mild)",0,1,2,4447,9,4448,IFI27,11.11,0.02,3.030601498632614e-7,6.518471166345308
"BNT (V1, D6)","BNT-I (D10, severe)",0,1,2,4634,9,4635,IFI27,11.11,0.02,2.7910699901734086e-7,6.554229272803744
"BNT (V1, D6)","BNT-I (D26, mild)",0,0,3,2593,9,2593,,0,0,3.4335172080225525e-10,9.464260771677228
"BNT (V1, D6)","BNT-I (D26, severe)",0,0,3,593,9,593,,0,0,2.848403953812563e-8,7.545398420066335
"BNT (V1, D6)",BNT-I (D3),0,0,3,664,9,664,,0,0,2.0310917493904818e-8,7.6922704580063135
"BNT (V1, D6)",BNT-I (D4),0,0,3,150,9,150,,0,0,1.7085956027583585e-6,5.767360715671897
"BNT (V1, D6)","BNT-I-BNT (D51, mild)",0,0,3,363,9,363,,0,0,1.2338885008995056e-7,6.908724083116297
"BNT (V1, D6)","BNT-I-BNT (D51, severe)",0,0,3,113,9,113,,0,0,3.9453957231910426e-6,5.403909430533359
"BNT (V1, D6)","BNT-MO (V3, D1)",0.001,1,2,942,9,1254,RNU1-4,11.11,0.08,6.725854183481319e-6,5.1722525524236875
"BNT (V1, D6)","ChAd (V1, D3)",0.002,1,2,657,9,903,IFI27,11.11,0.11,1.3795006207752763e-5,4.860278099752236
"BNT (V1, D6)","ChAd (V1, D6)",0.012,2,1,163,9,302,"IFI27, IGLV3-10",22.22,0.66,0.01807228915662642,1.7429868333203948
"BNT (V1, D6)","ChAd (V1, D7)",0.004,1,2,267,9,337,IFI27,11.11,0.3,8.261049153242479e-5,4.082964793777751
"BNT (V1, D6)","ChAd (V2, D1)",0.001,1,2,732,9,916,IFI27,11.11,0.11,1.112161485847747e-5,4.9538321486166215
"BNT (V1, D6)","ChAd (V2, D3)",0,0,3,201,9,215,,0,0,7.172551506092371e-7,6.144326324402091
"BNT (V1, D6)","ChAd (V2, D7)",0,0,3,9,9,18,,0,0,0.004545454545454544,2.342422680822206
"BNT (V1, D6)","ChAd-BNT (V2, D3)",0.001,1,2,907,9,1156,IFI27,11.11,0.09,7.25347260000722e-6,5.139454025159419
"BNT (V1, D6)","ChAd-BNT (V2, D7)",0,0,3,776,9,972,,0,0,1.2741283436360834e-8,7.894786823079524
"BNT (V1, D6)","ChAd-BNT (V3, D1)",0,0,3,1032,9,1388,,0,0,5.427377630341264e-9,8.265409959686837
"BNT (V1, D6)","I (D10, moderate)",0,1,2,3138,9,3139,IFI27,11.11,0.03,6.083502150517979e-7,6.215846334088078
"BNT (V1, D6)","I (D10, severe)",0,1,2,4095,9,4096,IFI27,11.11,0.02,3.5736608331418385e-7,6.446886667634676
"BNT (V1, D6)","I (D26, moderate)",0,0,3,2021,9,2021,,0,0,7.247090891616814e-10,9.1398362918099
"BNT (V1, D6)","I (D26, severe)",0,1,2,3978,9,3979,IFI27,11.11,0.03,3.7868316715453645e-7,6.421723999274143
"BNT (V1, D6)","I (D51, moderate)",0,0,3,51,9,51,,0,0,4.0316078051927035e-5,4.394521722674914
"BNT (V1, D6)","I (D51, severe)",0,0,3,2300,9,2300,,0,0,4.918530563948763e-10,9.308164625543013
"BNT (V1, D6)",I-BNT-I (D2),0,0,3,5,9,10,,0,0,0.01785714285714285,1.7481880270062007
"BNT (V1, D6)",I-BNT-I (D5),0,0,3,1,9,2,,0,0,0.25,0.6020599913279624
"BNT (V1, D6)",I-I (D1),0,0,3,39,9,39,,0,0,8.71080139372822e-5,4.059941888061955
"BNT (V1, D6)",I-I (D2),0,0,3,1,9,1,,0,0,0.25,0.6020599913279624
"BNT (V1, D6)",I-I (D3),0,0,3,3,9,3,,0,0,0.10000000000000003,0.9999999999999999
"BNT (V1, D6)",I-I (D5),0,0,3,14,9,14,,0,0,0.001470588235294117,2.8325089127062366
"BNT (V1, D6)","ZF2001 (V3, D07)",0,0,3,2434,9,2434,,0,0,4.150682095908724e-10,9.381880528312566
"BNT (V1, D6)","ZF2001 (V3, D14)",0,0,3,262,9,262,,0,0,3.2609617228312905e-7,6.486654298912754
"BNT (V1, D6)","ZF2001 (V3, D28)",0,0,3,38,9,38,,0,0,9.380863039399636e-5,4.027757204690553
"BNT (V2, D1)","BBIBP (V3, D14)",0.003,2,42,537,44,694,"RFTN2, IDO2",4.55,0.29,4.871472763469384e-62,61.31233972125909
"BNT (V2, D1)","BBIBP (V3, D28)",0,0,16,539,16,694,,0,0,3.211588791449186e-31,30.493280066455934
"BNT (V2, D1)","BNT (V1, D6)",0.004,2,1,537,9,694,"IFI27, RNU1-4",22.22,0.29,0.005555555555555635,2.2552725051033
"BNT (V2, D1)","BNT (V3, D1)",0.412,308,231,209,694,708,"IFIT1, IFIT3, OAS2, GPR42, TFEC, LRP1B, SNORD3B-2, SNORD67, SNORD9, CLDN10, GRIN3A, ACOD1, FAS, GSDMC, MT2A, CLEC6A, RGS9BP, ZBP1, LACTB, SORT1, TIMM10, CLXN, MTND4P14, PRAL, BATF2, CMPK2, LAP3P2, SP140, SECTM1, MX1, H2BP2, RN7SKP26, SPATS2L, COL1A1, COLEC12, HCAR1, PRMT5-DT, IL27, AGRN, NALF2, MARCO, IL31RA, HELZ2, AIM2, HES4, HES7, EDNRB, TMEM268, ALMS1P1, PSTPIP2, STAT1, STAT2, IRF1, STAT4-AS1, TNFAIP6, ANKRD22, NRIR, ISG20, METTL7B, CTSL, LINC01556, DDX60, STX11, LINC02068, LINC02555, CXCL10, CXCL11, HMGA2-AS1, MIR130AHG, CXCL9, FAM225B, GBP2, APOL1, APOL2, APOL4, APOL6, IFITM3, EPSTI1, CYBB, RPS29P14, TAP1, KCNJ2, TAP2, MMADHCP2, RSPH9, ASPHD2, DDX60L, IDO1, CFB, RTP4, RBFOX3, IDO2, ATF3, NUB1, IFI16, IFI27, TCN2, IFI35, IFI44, IFI44L, SERPING1, IFI6, IFIH1, ENSG00000272567, RCBTB2P1, IFIT2, KLF5, SAMD4A, BISPR, IFIT5, SAMD9L, DHX58, ODF3B, OOSP3, IMMP1LP2, CCL2, RHBDF2, OTOF, SOCS1, EIF2AK2, SDC3, TRIM5, TRIM6, MTND5P14, DNM1P33, RIGI, DOCK4, P2RY6, LYPD5, RIPK2, LINC01331, CCL8, TRPV4, FCGR1A, BCL2L14, RNA5SP237, MYOF, LGALS3BP, PARP9, CCRL2, C2, RPL7AP31, RPL7AP42, KLHDC7B-DT, GBP3, SFRP1, NASPP1, GBP6, BNIP5, RAB39A, PDCD1LG2, EEF1A1P35, RNU1-28P, EFCAB2, CD274, TMEM51, NCKAP5, KCNJ10, PSME2P1, CACNA1E, RNU7-41P, RNY1, ETV7, NDUFB4P11, EXOC3L4, ISG15, NRN1, SLAMF8, FCGR1BP, C15orf48, CASP5, PARP12, LINC02471, LINC02574, RPL38P4, FGF13, C1QA, C1QB, C1QC, DHRS9, OASL, CDC45, GBP7, XXYLT1-AS2, GCH1, TYMP, NMRAL2P, LINC00487, LRRK2-DT, PLA1A, SCO2, PML, PSME2P2, UBE2L6, KCNMA1, GK-IT1, SIGLEC1, RNVU1-28, VPS9D1, ETV7-AS1, LY6E, CALHM6, LAP3, EXOC3L1, FBXO6, VWA3B, RSAD2, FAM20A, CAPNS1P1, CAPNS2, F3, PLSCR2, RN7SL124P, CARD17P, SMCO4, TDRD7, XAF1, LIF, GBP1, RN7SKP230, OAS1, FAM225A, LPCAT2, SNORD15B, CCDC194, SNORD3A, HESX1, GRAMD1B, MSR1, OR52B4, OR7E100P, KPTN, TRIM22, RPS3AP43, PSME2, FRMD3, SIGLEC11, LAMP3, FBXO39, SIMALR, P2RX7, P2RY14, HTR3A, GBP5, TNFSF10, TNFSF13B, MYBPHL, OAS3, TLR7, FCGR1CP, ZDHHC19, FDPSP3, RAB1AP1, SEPTIN4, RNA5SP202, PHF24, PARP14, TRAFD1, DTX3L, LINC02773, NGFR, GBP1P1, GK, TIFA, GPR84, RNA5S9, LMNB1-DT, VAMP5, MIR4308, WARS1, SLIT2, SCARF1, RNU1-4, PLSCR1, CEACAM1, MOV10, CFAP97D1, PLAAT4, GADD45G, RPL21P57, SLC6A12, WDFY1, IRF7, LHFPL2, RNU5B-1, LINC03080, RNU6-275P, CDHR5, RNF213, SAT1, SLC30A4-AS1, SMTNL1, SLC1A3, RMI2, GLRX3P2, USP18, MIR4736, GBP4, HERC5, MAMDC2, LINC01415, SLC8A2, FAP, RUFY4, RNU7-40P, PRRG4, GARIN4, SIGLEC16",44.38,43.5,2.1379598181054894e-41,40.670000461399944
"BNT (V2, D1)",BNT-I (D1),0.009,14,525,1087,694,1101,"SNORD15A, SNORD89, RGS9BP, HBG2, SYP-AS1, CD276, MUC5B, GBP3, TMEM51, SDC2, FAM20A, CAPNS2, NFATC4, SCARF1",2.02,1.27,0,Inf
"BNT (V2, D1)","BNT-I (D10, mild)",0.03,144,395,4304,694,4448,"IFIT1, IFIT3, OAS2, TFEC, SNORD9, FAS, GSDMC, MT2A, ZBP1, LACTB, SORT1, TIMM10, BATF2, CMPK2, MX1, ZCCHC2, SPATS2L, AGRN, IL36A, HELZ2, AIM2, HERC6, PSTPIP2, STAT2, TNFAIP6, ANKRD22, IRF9, NRIR, METTL7B, DDX60, STX11, CXCL10, CXCL11, GBP2, APOL2, APOL4, APOL6, IFITM3, EPSTI1, TAP1, MLKL, RSPH9, DDX60L, CFB, RTP4, ATF3, IFI16, IFI27, TCN2, IFI35, IFI44, IFI44L, SERPING1, IFI6, IFIH1, KLF5, SAMD4A, BISPR, IFIT5, ODF3B, TRIM21, EIF2AK2, TRIM6, MUC1, RIPK2, FCGR1A, LGALS3BP, PARP9, GBP6, RAB39A, EFCAB2, CD274, CACNA1A, CACNA1E, ETV7, ISG15, NRN1, GALNT14, PARP12, FGF13, C1QB, C1QC, OASL, EPB41L3, CDC45, XXYLT1-AS2, GCH1, TYMP, LINC00487, PML, UBE2L6, KCNMA1, SIGLEC1, VPS9D1, LY6E, LAP3, FBXO6, RSAD2, PLSCR2, CARD16, SMCO4, TDRD7, XAF1, GBP1, OAS1, FAM225A, LPCAT2, HESX1, OR52B4, KPTN, TRIM22, PSME2, FRMD3, GLDN, LAMP3, FBXO39, HTR3A, TNFSF13B, OAS3, ZDHHC19, PARP14, TRAFD1, DTX3L, GBP1P1, GK, TIFA, GPR84, VAMP5, NMI, PLSCR1, CEACAM1, GADD45G, WDFY1, LHFPL2, SAT1, SMTNL1, SLC1A3, RMI2, USP18, INSC, HERC5, FAP, RUFY4, PRRG4",20.75,3.24,0,Inf
"BNT (V2, D1)","BNT-I (D10, severe)",0.035,175,364,4460,694,4635,"IFIT1, IFIT3, OAS2, LRP1B, SNORD89, SNORD9, FAS, GSDMC, DNAAF1, MT2A, ZBP1, LACTB, SORT1, TIMM10, BATF2, CMPK2, MX1, ZCCHC2, SPATS2L, IL27, AGRN, IL36A, HELZ2, AIM2, HERC6, HES4, EDNRB, PSTPIP2, STAT1, STAT2, TNFAIP6, ANKRD22, NRIR, METTL7B, CTSL, LINC01556, DDX60, STX11, CXCL10, CXCL11, APOBEC3B-AS1, GBP2, APOL1, APOL2, APOL6, IFITM3, EPSTI1, TAP1, KCNJ2, MLKL, RSPH9, DDX60L, CFB, RTP4, RBFOX3, ATF3, IFI16, IFI27, TCN2, IFI35, IFI44, IFI44L, SERPING1, IFI6, IFIH1, IFIT2, KLF5, BISPR, IFIT5, SAMD9L, DHX58, ODF3B, TRIM21, OTOF, EIF2AK2, TRIM6, DOCK4, MUC1, RIPK2, FCGR1A, LGALS3BP, PARP9, CCRL2, C2, SFRP1, GBP6, PDCD1LG2, EFCAB2, CD274, NCKAP5, CACNA1A, CACNA1E, ETV7, ISG15, NRN1, GALNT14, C15orf48, CASP5, PARP12, FGF13, C1QA, C1QB, C1QC, DHRS9, OASL, CDC45, TYMP, LINC00487, PML, UBE2L6, KCNMA1, SIGLEC1, VPS9D1, LY6E, LAP3, FBXO6, RSAD2, FAM20A, CAPNS2, PLSCR2, CARD16, SMCO4, TDRD7, RNU4ATAC, XAF1, GBP1, OAS1, FAM225A, LPCAT2, HESX1, TYMS, OR52B4, KPTN, TRIM22, FRMD3, SLC7A10, GLDN, LAMP3, FBXO39, HTR3A, GBP5, TNFSF10, TNFSF13B, MYBPHL, OAS3, ZDHHC19, PARP14, TRAFD1, DTX3L, GBP1P1, GK, TIFA, GPR84, VAMP5, NMI, PLSCR1, CEACAM1, MOV10, GADD45G, WDFY1, IRF7, LHFPL2, RNF213, SAT1, SMTNL1, SLC1A3, RMI2, USP18, INSC, PLEKHG4B, HERC5, SLC8A2, FAP, RUFY4, PRRG4",25.22,3.78,0,Inf
"BNT (V2, D1)","BNT-I (D26, mild)",0.008,25,514,2568,694,2593,"SNORD89, SNORD9, DLSTP1, LACTB, SORT1, MARCO, METTL7B, RSPH9, DDX60L, RBFOX3, TCN2, KLF5, SAMD9L, CCL2, EFCAB2, CACNA1E, GALNT14, FGF13, FAM20A, HTR3A, GPR84, GADD45G, SLC1A3, RMI2, INSC",3.6,0.96,0,Inf
"BNT (V2, D1)","BNT-I (D26, severe)",0.004,4,535,589,694,593,"SNORD89, GSDMC, SDC3, RIPK2",0.58,0.67,0,Inf
"BNT (V2, D1)",BNT-I (D3),0.031,36,503,628,694,664,"SNORD89, GSDMC, LACTB, SORT1, SECTM1, EDNRB, PSTPIP2, IRF1, ANKRD22, STX11, CXCL17, GBP2, KLF5, MUC1, MUC5B, FCGR1A, SFRP1, GBP6, EFCAB2, CACNA1E, NRN1, GALNT14, FGF13, VPS9D1, FAM20A, CAPNS2, LPCAT2, SNORD15B, P2RY14, GBP5, MYBPHL, ZDHHC19, GBP1P1, GK, GPR84, CEACAM1",5.19,5.42,2.580163335832657e-289,288.58835280039125
"BNT (V2, D1)",BNT-I (D4),0.001,1,538,149,694,150,SNORD89,0.14,0.67,3.0149828714947923e-153,152.5207151507996
"BNT (V2, D1)","BNT-I-BNT (D51, mild)",0,0,539,363,694,363,,0,0,3.4955341028847296e-263,262.45648645648095
"BNT (V2, D1)","BNT-I-BNT (D51, severe)",0,0,539,113,694,113,,0,0,6.597931238432498e-130,129.1805922148478
