"","Cond1","Cond2","jaccard_distance","Shared","NotShared_cond1","NotShared_cond2","Total_Genes_Cond1","Total_Genes_Cond2","Genes_Names","Percentage_Shared_Cond1","Percentage_Shared_Cond2","pvalue","-log(p)"
"24","RVSV ZEBOV (D7)","FLUZONE (D7)",0.031,1,9,22,10,23,"CCL2",10,4.35,3.56521491115485e-07,6.44791428575167
"25","RVSV ZEBOV (D7)","FLUMIST (D3)",0,0,10,1238,10,1245,"",0,0,4.10503365880042e-25,24.3866832775771
"26","RVSV ZEBOV (D7)","FLUMIST (D7)",0,1,9,2402,10,2445,"CXCL10",10,0.04,1.33308222153158e-24,23.8751430634472
"27","RVSV ZEBOV (D7)","FLUMIST (D1)",0,0,10,15,10,15,"",0,0,3.0592640634369e-07,6.51438303483488
"28","RVSV ZEBOV (D7)","FLUENZ (D3-4)",0,0,10,6,10,6,"",0,0,0.000124875124875125,3.90352406447126
"29","RVSV ZEBOV (D7)","FLUMIST (D30)",0,0,10,15,10,15,"",0,0,3.0592640634369e-07,6.51438303483488
"30","RVSV ZEBOV (D7)","FLUENZ (D6-7)",0,0,10,9,10,9,"",0,0,1.0825088224469e-05,4.96556855546015
"31","RVSV ZEBOV (D7)","MENACTRA (D3)",0,0,10,46,10,48,"",0,0,2.80843248299199e-11,10.551536012456
"32","RVSV ZEBOV (D7)","MENACTRA (D7)",0,0,10,14,10,14,"",0,0,5.09877343906151e-07,6.29253428521853
"33","RVSV ZEBOV (D7)","WETVAX (D2-4)",0.037,4,6,97,10,101,"CXCL10, HERC5, IFIT1, RSAD2",40,3.96,1.16198925836988e-07,6.9347978866206
"34","RVSV ZEBOV (D7)","WETVAX (D5-7)",0.013,6,4,468,10,520,"CXCL10, HERC5, IFIT1, ISG15, RSAD2, USP18",60,1.15,9.77650661466215e-08,7.00981630155207
"35","RVSV ZEBOV (D7)","WETVAX (D50-60)",0,0,10,313,10,314,"",0,0,3.37944418784991e-19,18.4711547216155
"36","RVSV ZEBOV (D7)","MVA85A (D2)",0.07,5,5,62,10,67,"CCL2, CXCL10, IFIT1, ISG15, RSAD2",50,7.46,1.80108785706567e-05,4.74446510177892
"37","RVSV ZEBOV (D7)","ZOSTAVAX (D1)",0,0,10,14,10,14,"",0,0,5.09877343906151e-07,6.29253428521853
"38","RVSV ZEBOV (D7)","ZOSTAVAX (D3)",0,0,10,7,10,7,"",0,0,5.14191690662278e-05,4.28887494583528
"39","RVSV ZEBOV (D7)","YF VAX (ANY)",0,0,10,29,10,29,"",0,0,1.57295673125095e-09,8.80328322374506
"40","RVSV ZEBOV (D7)","YF17D (D3)",0.12,6,4,40,10,94,"CXCL10, HERC5, IFIT1, ISG15, LAMP3, RSAD2",60,6.38,0.000911854103343465,3.04007464323031
"41","RVSV ZEBOV (D7)","YF VAX (D4-7)",0.007,4,6,597,10,601,"HERC5, IFIT1, ISG15, USP18",40,0.67,3.0987344417061e-12,11.5088156407479
"42","RVSV ZEBOV (D7)","STAMARIL (D10)",0.013,4,6,299,10,303,"HERC5, IFIT1, ISG15, RSAD2",40,1.32,1.82393505506686e-10,9.7389906296744
"43","RVSV ZEBOV (D7)","STAMARIL (D14)",0,0,10,70,10,70,"",0,0,6.0735183233105e-13,12.2165596539428
"44","RVSV ZEBOV (D7)","STAMARIL (D28)",0,0,10,40,10,40,"",0,0,9.73493886604907e-11,10.0116667714394
"45","RVSV ZEBOV (D7)","STAMARIL (D3)",0.012,4,6,319,10,323,"HERC5, IFIT1, ISG15, RSAD2",40,1.24,1.24821191988595e-10,9.90371167441018
"46","RVSV ZEBOV (D7)","STAMARIL (D60)",0,0,10,84,10,84,"",0,0,1.10604091608741e-13,12.9562288067544
"47","RVSV ZEBOV (D7)","STAMARIL (D7)",0.012,6,4,477,10,483,"CXCL10, HERC5, IFIT1, ISG15, LAMP3, RSAD2",60,1.24,9.07148121795496e-08,7.04232179427808
"48","LVS F TULARENSIS (H18)","RVSV ZEBOV (D7)",0.011,1,9,77,10,78,"LAMP3",10,1.28,1.94963393418533e-11,10.7100469246824
"49","LVS F TULARENSIS (H18)","LVS F TULARENSIS (H192)",0.95,76,2,2,78,78,"B2M, CARD10, CARD9, CCL18, CCL19, CCL20, CCL21, CCR4, CCR6, CCR7, CD83, FCGR3A, ICAM1, ICOS, IRAK1, IRAK1BP1, LAMP3, NOD1, PYCARD, TAP2, TICAM1, ADAM11, ADAMDEC1, CARD14, CARD8, CCL17, CCL22, CCR1, CCR2, CCR3, CCR5, CD1A, CD1B, CD1C, CD1D, CD209, CD44, CD58, CD68, CD74, CD80, CD81, CD86, CDC42, DCP1B, DCSTAMP, DCTN2, FAS, FCER1A, FCER1G, FCGR1A, FCGR2A, FCGR2B, HLA-DMA, HLA-DQB1, HLA-DRB1, HSP90B1, ICAM2, IRAK2, IRAK4, LILRB4, MYD88, NOD2, TAP1, TIRAP, TLR1, TLR10, TLR2, TLR3, TLR4, TLR5, TLR6, TLR7, TLR8, TLR9, TRAF6",97.44,97.44,1,0
"50","LVS F TULARENSIS (H18)","LVS F TULARENSIS (H336)",0.95,76,2,2,78,78,"B2M, CARD10, CARD9, CCL18, CCL19, CCL20, CCL21, CCR4, CCR6, CCR7, CD83, FCGR3A, ICAM1, ICOS, IRAK1, IRAK1BP1, LAMP3, NOD1, PYCARD, TAP2, TICAM1, ADAMDEC1, CARD14, CARD8, CCL17, CCL22, CCR1, CCR2, CCR3, CCR5, CD1A, CD1B, CD1C, CD1D, CD209, CD44, CD58, CD68, CD74, CD80, CD81, CD86, CDC42, DCP1B, DCSTAMP, DCTN2, FAS, FCER1A, FCER1G, FCGR1A, FCGR2A, FCGR2B, HLA-DMA, HLA-DMB, HLA-DQB1, HLA-DRB1, HSP90B1, ICAM2, IRAK2, IRAK4, LILRB4, MYD88, NOD2, TAP1, TIRAP, TLR1, TLR10, TLR2, TLR3, TLR4, TLR5, TLR6, TLR7, TLR8, TLR9, TRAF6",97.44,97.44,1,0
"51","LVS F TULARENSIS (H18)","LVS F TULARENSIS (H48)",0.95,76,2,2,78,78,"B2M, CARD10, CARD9, CCL18, CCL19, CCL20, CCL21, CCR4, CCR6, CCR7, CD83, FCGR3A, ICAM1, ICOS, IRAK1, IRAK1BP1, LAMP3, NOD1, PYCARD, TAP2, TICAM1, ADAMDEC1, CARD14, CARD8, CCL17, CCL22, CCR1, CCR2, CCR3, CCR5, CD1A, CD1B, CD1C, CD1D, CD209, CD44, CD58, CD68, CD74, CD80, CD81, CD86, CDC42, DCP1B, DCSTAMP, DCTN2, FAS, FCER1A, FCER1G, FCGR1A, FCGR2A, FCGR2B, HLA-DMA, HLA-DMB, HLA-DQB1, HLA-DRB1, HSP90B1, ICAM2, IRAK2, IRAK4, LILRB4, MYD88, NOD2, TAP1, TIRAP, TLR1, TLR10, TLR2, TLR3, TLR4, TLR5, TLR6, TLR7, TLR8, TLR9, TRAF6",97.44,97.44,1,0
"52","LVS F TULARENSIS (H18)","CN54GP140 (D1)",0,0,78,172,78,174,"",0,0,7.47705888449713e-67,66.1262691991164
"53","LVS F TULARENSIS (H18)","CN54GP140 (D3)",0,0,78,74,78,74,"",0,0,2.85658504842472e-45,44.544152841265
"54","LVS F TULARENSIS (H18)","CN54GP140 (D7)",0,0,78,49,78,49,"",0,0,2.2864693731535e-36,35.6408346115409
"55","LVS F TULARENSIS (H18)","CN54GP140 (H6)",0.017,3,75,97,78,100,"FCGR3A, CCR2, CD1C",3.85,3,1.56647365868579e-46,45.8050769036764
"56","LVS F TULARENSIS (H18)","HIV-1 GAG-POL NEF (D1)",0.015,32,46,1994,78,2029,"CCR4, CCR6, CCR7, ICAM1, LAMP3, NOD1, PYCARD, TAP2, CCR1, CCR2, CD1C, CD44, CD68, CD86, FAS, FCER1A, FCER1G, FCGR2A, HLA-DMA, HLA-DMB, HLA-DRB1, LILRB4, MYD88, NOD2, TAP1, TLR1, TLR10, TLR2, TLR4, TLR6, TLR7, TLR8",41.03,1.58,1.98817037266543e-73,72.7015464022636
"57","LVS F TULARENSIS (H18)","HIV-1 GAG-POL NEF (D3)",0.028,6,72,136,78,142,"FCGR3A, CCR1, TAP1, TLR1, TLR2, TLR6",7.69,4.23,1.96472280244295e-50,49.7066987144292
"58","LVS F TULARENSIS (H18)","HPV-VLP (M2)",0.021,14,64,596,78,612,"CCL18, CCL19, CCL20, CD83, ICAM1, LAMP3, PYCARD, TAP2, CCL17, CD1B, CD209, NOD2, TLR1, TLR2",17.95,2.29,2.63766009303251e-76,75.578781171349
"59","LVS F TULARENSIS (H18)","INFLUENZA (D1)",0,0,78,26,78,26,"",0,0,4.43439020984212e-25,24.3531660932412
"60","LVS F TULARENSIS (H18)","PANDEMRIX (D1)",0.125,11,67,10,78,21,"CD86, HLA-DRB1, MYD88, NOD2, TAP1, TLR1, TLR2, TLR4, TLR6, TLR7, TLR8",14.1,52.38,7.81439866738761e-08,7.10710443613274
"61","LVS F TULARENSIS (H18)","FLUARIX FLUVIRIN (D3)",0.008,9,69,1046,78,1061,"ICOS, CCR2, CCR5, CD86, CDC42, FCER1G, ICAM2, TLR5, TLR8",11.54,0.85,8.25701608024723e-101,100.08317686963
"62","LVS F TULARENSIS (H18)","INFLUENZA (D3)",0.035,4,74,36,78,40,"TLR3, TLR4, TLR7, TLR9",5.13,10,1.51357006408267e-25,24.8199974704853
"63","LVS F TULARENSIS (H18)","PANDEMRIX (D3)",0.025,2,76,3,78,5,"TLR3, TLR7",2.56,40,0.000117205813408345,3.93105084677739
"64","LVS F TULARENSIS (H18)","PANDEMRIX (D30)",0.024,2,76,4,78,6,"TLR7, TLR9",2.56,33.33,8.57603512743987e-06,5.06671344877746
"65","LVS F TULARENSIS (H18)","FLUARIX FLUVIRIN (D7)",0.004,4,74,844,78,860,"CD83, ICAM1, HSP90B1, TRAF6",5.13,0.47,3.90122013083033e-105,104.408799543431
"66","LVS F TULARENSIS (H18)","INFLUENZA (D7)",0,0,78,72,78,72,"",0,0,1.21370492468426e-44,43.9158868858785
"67","LVS F TULARENSIS (H18)","PANDEMRIX (D7)",0,0,78,33,78,33,"",0,0,5.57770713762491e-29,28.2535442924817
"68","LVS F TULARENSIS (H18)","INACTIVATED INFLUENZA (D0)",0,0,78,5,78,5,"",0,0,3.44419081423288e-08,7.4629127958732
"69","LVS F TULARENSIS (H18)","FLUZONE (D1)",0.011,1,77,11,78,13,"FCGR1A",1.28,7.69,3.28589988907638e-13,12.4833456722716
"70","LVS F TULARENSIS (H18)","FLUZONE (D30)",0,0,78,16,78,16,"",0,0,2.17898593103847e-18,17.6617455738346
"71","LVS F TULARENSIS (H18)","FLUZONE (D7)",0,0,78,23,78,23,"",0,0,3.10584690297339e-23,22.5078199558298
"72","LVS F TULARENSIS (H18)","FLUMIST (D3)",0.009,12,66,1226,78,1245,"CARD9, PYCARD, CD44, CD86, CDC42, DCTN2, FCER1G, HLA-DMB, HLA-DRB1, MYD88, TLR7, TLR8",15.38,0.96,3.10464130147591e-99,98.5079885693323
"73","LVS F TULARENSIS (H18)","FLUMIST (D7)",0.005,13,65,2390,78,2445,"CD83, ICAM1, ICOS, CARD8, CCR2, CD1C, CD1D, CD58, CDC42, DCP1B, ICAM2, TLR5, TRAF6",16.67,0.53,1.33827130577594e-115,114.87345583376
"74","LVS F TULARENSIS (H18)","FLUMIST (D1)",0,0,78,15,78,15,"",0,0,1.28015423448512e-17,16.8927377028908
"75","LVS F TULARENSIS (H18)","FLUENZ (D3-4)",0.012,1,77,5,78,6,"TLR1",1.28,16.67,2.06651448853974e-07,6.68476154548956
"76","LVS F TULARENSIS (H18)","FLUMIST (D30)",0,0,78,15,78,15,"",0,0,1.28015423448512e-17,16.8927377028908
"77","LVS F TULARENSIS (H18)","FLUENZ (D6-7)",0,0,78,9,78,9,"",0,0,1.94963393418534e-12,11.7100469246824
"78","LVS F TULARENSIS (H18)","MENACTRA (D3)",0.025,3,75,43,78,48,"CARD9, CCL20, TLR4",3.85,6.25,1.28306857723322e-29,28.8917501309064
"79","LVS F TULARENSIS (H18)","MENACTRA (D7)",0.011,1,77,13,78,14,"HSP90B1",1.28,7.14,7.30199975350313e-15,14.136558186047
"80","LVS F TULARENSIS (H18)","WETVAX (D2-4)",0.023,4,74,97,78,101,"FCGR3A, ICAM1, FCGR1A, FCGR2B",5.13,3.96,3.95534598818169e-45,44.4028155212217
"81","LVS F TULARENSIS (H18)","WETVAX (D5-7)",0.034,18,60,456,78,520,"CCR7, FCGR3A, ICAM1, TAP2, CCR1, CD1C, CD74, FAS, FCGR1A, FCGR2B, HLA-DQB1, HLA-DRB1, MYD88, RBMS1, TAP1, TLR1, TLR2, TLR8",23.08,3.46,1.2341511712133e-63,62.9086316403006
"82","LVS F TULARENSIS (H18)","WETVAX (D50-60)",0.013,5,73,308,78,314,"CCR2, CD1C, ICAM2, TLR5, TLR8",6.41,1.59,2.06778323335556e-73,72.6844949904774
"83","LVS F TULARENSIS (H18)","MVA85A (D2)",0.051,7,71,60,78,67,"ICAM1, PYCARD, CD68, FCGR1A, TLR1, TLR6, TLR8",8.97,10.45,1.18457332102522e-31,30.9264380527705
"84","LVS F TULARENSIS (H18)","ZOSTAVAX (D1)",0,0,78,14,78,14,"",0,0,7.93695625380775e-17,16.1003460133925
"85","LVS F TULARENSIS (H18)","ZOSTAVAX (D3)",0,0,78,7,78,7,"",0,0,2.02599459660757e-10,9.69336171725148
"86","LVS F TULARENSIS (H18)","YF VAX (ANY)",0,0,78,29,78,29,"",0,0,8.16346919251472e-27,26.088125241861
"87","LVS F TULARENSIS (H18)","YF17D (D3)",0.016,2,76,44,78,94,"LAMP3, TLR7",2.56,2.13,3.15508666532755e-31,30.5009887068615
"88","LVS F TULARENSIS (H18)","YF VAX (D4-7)",0.007,5,73,596,78,601,"FCGR3A, CCR5, CD74, CD86, TAP1",6.41,0.83,1.73871257793339e-92,91.7597722041585
"89","LVS F TULARENSIS (H18)","STAMARIL (D10)",0.013,5,73,298,78,303,"TAP2, CCR1, FCER1A, TAP1, TLR7",6.41,1.65,1.72967258502926e-72,71.7620360980114
"90","LVS F TULARENSIS (H18)","STAMARIL (D14)",0.007,1,77,69,78,70,"HSP90B1",1.28,1.43,7.85346860303324e-42,41.1049384881659
"91","LVS F TULARENSIS (H18)","STAMARIL (D28)",0.017,2,76,38,78,40,"FCER1G, MYD88",2.56,5,1.36153229152864e-28,27.8659720540182
"92","LVS F TULARENSIS (H18)","STAMARIL (D3)",0.023,9,69,314,78,323,"TAP2, TICAM1, CCR1, CD68, CD86, FCER1G, MYD88, TAP1, TLR7",11.54,2.79,2.10291274831981e-67,66.6771787461959
"93","LVS F TULARENSIS (H18)","STAMARIL (D60)",0.032,5,73,79,78,84,"CD74, CD86, NOD2, TAP1, TLR7",6.41,5.95,2.66643697892989e-39,38.5740686763825
"94","LVS F TULARENSIS (H18)","STAMARIL (D7)",0.022,12,66,471,78,483,"LAMP3, TAP2, TICAM1, CCR1, CD68, CD74, CD86, FCER1G, MYD88, NOD2, TAP1, TLR7",15.38,2.48,2.14068584204565e-73,72.6694470632413
"95","LVS F TULARENSIS (H192)","RVSV ZEBOV (D7)",0.011,1,9,77,10,78,"LAMP3",10,1.28,1.94963393418533e-11,10.7100469246824
"96","LVS F TULARENSIS (H192)","LVS F TULARENSIS (H18)",0.95,76,2,2,78,78,"B2M, CARD10, CARD9, CCL18, CCL19, CCL20, CCL21, CCR4, CCR6, CCR7, CD83, FCGR3A, ICAM1, ICOS, IRAK1, IRAK1BP1, LAMP3, NOD1, PYCARD, TAP2, TICAM1, ADAM11, ADAMDEC1, CARD14, CARD8, CCL17, CCL22, CCR1, CCR2, CCR3, CCR5, CD1A, CD1B, CD1C, CD1D, CD209, CD44, CD58, CD68, CD74, CD80, CD81, CD86, CDC42, DCP1B, DCSTAMP, DCTN2, FAS, FCER1A, FCER1G, FCGR1A, FCGR2A, FCGR2B, HLA-DMA, HLA-DQB1, HLA-DRB1, HSP90B1, ICAM2, IRAK2, IRAK4, LILRB4, MYD88, NOD2, TAP1, TIRAP, TLR1, TLR10, TLR2, TLR3, TLR4, TLR5, TLR6, TLR7, TLR8, TLR9, TRAF6",97.44,97.44,1,0
"97","LVS F TULARENSIS (H192)","LVS F TULARENSIS (H336)",0.975,77,1,1,78,78,"B2M, CCL17, CCL18, CCL19, CCL20, CCR1, CCR3, CCR6, CCR7, CD209, CD44, CD58, CD68, CD74, CD80, CD83, CDC42, DCSTAMP, FAS, FCER1A, FCER1G, FCGR2A, FCGR2B, FCGR3A, HSP90B1, ICAM1, ICOS, IRAK1, LAMP3, PYCARD, SOD2, TAP2, TICAM1, ADAMDEC1, CARD10, CARD14, CARD8, CARD9, CCL16, CCL21, CCL22, CCR2, CCR4, CCR5, CD1A, CD1B, CD1C, CD1D, CD81, CD86, DCP1B, DCTN2, FCGR1A, HLA-DMA, HLA-DQB1, HLA-DRB1, ICAM2, IRAK1BP1, IRAK2, IRAK4, LILRB4, MYD88, NOD1, NOD2, TAP1, TIRAP, TLR1, TLR10, TLR2, TLR3, TLR4, TLR5, TLR6, TLR7, TLR8, TLR9, TRAF6",98.72,98.72,1,0
"98","LVS F TULARENSIS (H192)","LVS F TULARENSIS (H48)",0.975,77,1,1,78,78,"B2M, CCL17, CCL18, CCL19, CCL20, CCR1, CCR3, CCR6, CCR7, CD209, CD44, CD58, CD68, CD74, CD80, CD83, CDC42, DCSTAMP, FAS, FCER1A, FCER1G, FCGR2A, FCGR2B, FCGR3A, HSP90B1, ICAM1, ICOS, IRAK1, LAMP3, PYCARD, SOD2, TAP2, TICAM1, ADAMDEC1, CARD10, CARD14, CARD8, CARD9, CCL16, CCL21, CCL22, CCR2, CCR4, CCR5, CD1A, CD1B, CD1C, CD1D, CD81, CD86, DCP1B, DCTN2, FCGR1A, HLA-DMA, HLA-DQB1, HLA-DRB1, ICAM2, IRAK1BP1, IRAK2, IRAK4, LILRB4, MYD88, NOD1, NOD2, TAP1, TIRAP, TLR1, TLR10, TLR2, TLR3, TLR4, TLR5, TLR6, TLR7, TLR8, TLR9, TRAF6",98.72,98.72,1,0
"99","LVS F TULARENSIS (H192)","CN54GP140 (D1)",0,0,78,172,78,174,"",0,0,7.47705888449713e-67,66.1262691991164
"100","LVS F TULARENSIS (H192)","CN54GP140 (D3)",0,0,78,74,78,74,"",0,0,2.85658504842472e-45,44.544152841265
"101","LVS F TULARENSIS (H192)","CN54GP140 (D7)",0,0,78,49,78,49,"",0,0,2.2864693731535e-36,35.6408346115409
"102","LVS F TULARENSIS (H192)","CN54GP140 (H6)",0.017,3,75,97,78,100,"FCGR3A, CCR2, CD1C",3.85,3,1.56647365868579e-46,45.8050769036764
"103","LVS F TULARENSIS (H192)","HIV-1 GAG-POL NEF (D1)",0.015,31,47,1995,78,2029,"CCR1, CCR6, CCR7, CD44, CD68, FAS, FCER1A, FCER1G, FCGR2A, ICAM1, LAMP3, PYCARD, TAP2, CCR2, CCR4, CD1C, CD86, HLA-DMA, HLA-DRB1, LILRB4, MYD88, NOD1, NOD2, TAP1, TLR1, TLR10, TLR2, TLR4, TLR6, TLR7, TLR8",39.74,1.53,3.0690521912829e-75,74.5129957260376
"104","LVS F TULARENSIS (H192)","HIV-1 GAG-POL NEF (D3)",0.028,6,72,136,78,142,"CCR1, FCGR3A, TAP1, TLR1, TLR2, TLR6",7.69,4.23,1.96472280244295e-50,49.7066987144292
"105","LVS F TULARENSIS (H192)","HPV-VLP (M2)",0.021,14,64,596,78,612,"CCL17, CCL18, CCL19, CCL20, CD209, CD83, ICAM1, LAMP3, PYCARD, TAP2, CD1B, NOD2, TLR1, TLR2",17.95,2.29,2.63766009303251e-76,75.578781171349
"106","LVS F TULARENSIS (H192)","INFLUENZA (D1)",0,0,78,26,78,26,"",0,0,4.43439020984212e-25,24.3531660932412
"107","LVS F TULARENSIS (H192)","PANDEMRIX (D1)",0.125,11,67,10,78,21,"CD86, HLA-DRB1, MYD88, NOD2, TAP1, TLR1, TLR2, TLR4, TLR6, TLR7, TLR8",14.1,52.38,7.81439866738761e-08,7.10710443613274
"108","LVS F TULARENSIS (H192)","FLUARIX FLUVIRIN (D3)",0.008,9,69,1046,78,1061,"CDC42, FCER1G, ICOS, CCR2, CCR5, CD86, ICAM2, TLR5, TLR8",11.54,0.85,8.25701608024723e-101,100.08317686963
"109","LVS F TULARENSIS (H192)","INFLUENZA (D3)",0.035,4,74,36,78,40,"TLR3, TLR4, TLR7, TLR9",5.13,10,1.51357006408267e-25,24.8199974704853
"110","LVS F TULARENSIS (H192)","PANDEMRIX (D3)",0.025,2,76,3,78,5,"TLR3, TLR7",2.56,40,0.000117205813408345,3.93105084677739
"111","LVS F TULARENSIS (H192)","PANDEMRIX (D30)",0.024,2,76,4,78,6,"TLR7, TLR9",2.56,33.33,8.57603512743987e-06,5.06671344877746
"112","LVS F TULARENSIS (H192)","FLUARIX FLUVIRIN (D7)",0.004,4,74,844,78,860,"CD83, HSP90B1, ICAM1, TRAF6",5.13,0.47,3.90122013083033e-105,104.408799543431
"113","LVS F TULARENSIS (H192)","INFLUENZA (D7)",0,0,78,72,78,72,"",0,0,1.21370492468426e-44,43.9158868858785
"114","LVS F TULARENSIS (H192)","PANDEMRIX (D7)",0,0,78,33,78,33,"",0,0,5.57770713762491e-29,28.2535442924817
"115","LVS F TULARENSIS (H192)","INACTIVATED INFLUENZA (D0)",0,0,78,5,78,5,"",0,0,3.44419081423288e-08,7.4629127958732
"116","LVS F TULARENSIS (H192)","FLUZONE (D1)",0.011,1,77,11,78,13,"FCGR1A",1.28,7.69,3.28589988907638e-13,12.4833456722716
"117","LVS F TULARENSIS (H192)","FLUZONE (D30)",0,0,78,16,78,16,"",0,0,2.17898593103847e-18,17.6617455738346
"118","LVS F TULARENSIS (H192)","FLUZONE (D7)",0,0,78,23,78,23,"",0,0,3.10584690297339e-23,22.5078199558298
"119","LVS F TULARENSIS (H192)","FLUMIST (D3)",0.008,11,67,1227,78,1245,"CD44, CDC42, FCER1G, PYCARD, CARD9, CD86, DCTN2, HLA-DRB1, MYD88, TLR7, TLR8",14.1,0.88,2.85484257606989e-101,100.544417834959
"120","LVS F TULARENSIS (H192)","FLUMIST (D7)",0.006,14,64,2389,78,2445,"CD58, CD83, CDC42, ICAM1, ICOS, SOD2, CARD8, CCR2, CD1C, CD1D, DCP1B, ICAM2, TLR5, TRAF6",17.95,0.57,2.35918113046792e-113,112.627238714077
"121","LVS F TULARENSIS (H192)","FLUMIST (D1)",0,0,78,15,78,15,"",0,0,1.28015423448512e-17,16.8927377028908
"122","LVS F TULARENSIS (H192)","FLUENZ (D3-4)",0.012,1,77,5,78,6,"TLR1",1.28,16.67,2.06651448853974e-07,6.68476154548956
"123","LVS F TULARENSIS (H192)","FLUMIST (D30)",0,0,78,15,78,15,"",0,0,1.28015423448512e-17,16.8927377028908
"124","LVS F TULARENSIS (H192)","FLUENZ (D6-7)",0,0,78,9,78,9,"",0,0,1.94963393418534e-12,11.7100469246824
"125","LVS F TULARENSIS (H192)","MENACTRA (D3)",0.025,3,75,43,78,48,"CCL20, CARD9, TLR4",3.85,6.25,1.28306857723322e-29,28.8917501309064
"126","LVS F TULARENSIS (H192)","MENACTRA (D7)",0.011,1,77,13,78,14,"HSP90B1",1.28,7.14,7.30199975350313e-15,14.136558186047
"127","LVS F TULARENSIS (H192)","WETVAX (D2-4)",0.029,5,73,96,78,101,"FCGR2B, FCGR3A, ICAM1, SOD2, FCGR1A",6.41,4.95,1.38437109586359e-43,42.8587474768714
"128","LVS F TULARENSIS (H192)","WETVAX (D5-7)",0.034,18,60,456,78,520,"CCR1, CCR7, CD74, FAS, FCGR2B, FCGR3A, ICAM1, SOD2, TAP2, CD1C, FCGR1A, HLA-DQB1, HLA-DRB1, MYD88, TAP1, TLR1, TLR2, TLR8",23.08,3.46,1.2341511712133e-63,62.9086316403006
"129","LVS F TULARENSIS (H192)","WETVAX (D50-60)",0.016,6,72,307,78,314,"SOD2, CCR2, CD1C, ICAM2, TLR5, TLR8",7.69,1.91,1.33027388012545e-71,70.8760589361893
